GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProjetDevops,ProjetDevops.ProjetDevops,DataType,0,44,0,0,0,2,0,1,0,1
ProjetDevops,ProjetDevops.ProjetDevops,Dataframe,127,113,14,6,25,19,9,6,2,3
ProjetDevops,ProjetDevops.ProjetDevops,App,7,0,0,0,3,0,2,0,2,0
ProjetDevops,ProjetDevops.ProjetDevops,Column,15,20,0,0,6,5,3,2,3,2
ProjetDevops,ProjetDevops.ProjetDevops,Line,9,36,0,2,4,6,2,3,2,2
